m,x,y,z,h,rho
1,0.025,0.025,0.025,0.05,1
1,0.025,0.07500000000000001,0.07500000000000001,0.05,1
1,0.025,0.125,0.125,0.05,1
1,0.025,0.175,0.175,0.05,1
1,0.025,0.225,0.225,0.05,1
1,0.025,0.275,0.275,0.05,1
1,0.025,0.325,0.325,0.05,1
1,0.025,0.375,0.375,0.05,1
1,0.025,0.42500000000000004,0.42500000000000004,0.05,1
1,0.025,0.47500000000000003,0.47500000000000003,0.05,1
1,0.025,0.525,0.525,0.05,1
1,0.025,0.5750000000000001,0.5750000000000001,0.05,1
1,0.025,0.625,0.625,0.05,1
1,0.025,0.675,0.675,0.05,1
1,0.025,0.725,0.725,0.05,1
1,0.025,0.775,0.775,0.05,1
1,0.025,0.8250000000000001,0.8250000000000001,0.05,1
1,0.025,0.875,0.875,0.05,1
1,0.025,0.925,0.925,0.05,1
1,0.025,0.975,0.975,0.05,1
1,0.07500000000000001,0.025,0.025,0.05,1
1,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.05,1
1,0.07500000000000001,0.125,0.125,0.05,1
1,0.07500000000000001,0.175,0.175,0.05,1
1,0.07500000000000001,0.225,0.225,0.05,1
1,0.07500000000000001,0.275,0.275,0.05,1
1,0.07500000000000001,0.325,0.325,0.05,1
1,0.07500000000000001,0.375,0.375,0.05,1
1,0.07500000000000001,0.42500000000000004,0.42500000000000004,0.05,1
1,0.07500000000000001,0.47500000000000003,0.47500000000000003,0.05,1
1,0.07500000000000001,0.525,0.525,0.05,1
1,0.07500000000000001,0.5750000000000001,0.5750000000000001,0.05,1
1,0.07500000000000001,0.625,0.625,0.05,1
1,0.07500000000000001,0.675,0.675,0.05,1
1,0.07500000000000001,0.725,0.725,0.05,1
1,0.07500000000000001,0.775,0.775,0.05,1
1,0.07500000000000001,0.8250000000000001,0.8250000000000001,0.05,1
1,0.07500000000000001,0.875,0.875,0.05,1
1,0.07500000000000001,0.925,0.925,0.05,1
1,0.07500000000000001,0.975,0.975,0.05,1
1,0.125,0.025,0.025,0.05,1
1,0.125,0.07500000000000001,0.07500000000000001,0.05,1
1,0.125,0.125,0.125,0.05,1
1,0.125,0.175,0.175,0.05,1
1,0.125,0.225,0.225,0.05,1
1,0.125,0.275,0.275,0.05,1
1,0.125,0.325,0.325,0.05,1
1,0.125,0.375,0.375,0.05,1
1,0.125,0.42500000000000004,0.42500000000000004,0.05,1
1,0.125,0.47500000000000003,0.47500000000000003,0.05,1
1,0.125,0.525,0.525,0.05,1
1,0.125,0.5750000000000001,0.5750000000000001,0.05,1
1,0.125,0.625,0.625,0.05,1
1,0.125,0.675,0.675,0.05,1
1,0.125,0.725,0.725,0.05,1
1,0.125,0.775,0.775,0.05,1
1,0.125,0.8250000000000001,0.8250000000000001,0.05,1
1,0.125,0.875,0.875,0.05,1
1,0.125,0.925,0.925,0.05,1
1,0.125,0.975,0.975,0.05,1
1,0.175,0.025,0.025,0.05,1
1,0.175,0.07500000000000001,0.07500000000000001,0.05,1
1,0.175,0.125,0.125,0.05,1
1,0.175,0.175,0.175,0.05,1
1,0.175,0.225,0.225,0.05,1
1,0.175,0.275,0.275,0.05,1
1,0.175,0.325,0.325,0.05,1
1,0.175,0.375,0.375,0.05,1
1,0.175,0.42500000000000004,0.42500000000000004,0.05,1
1,0.175,0.47500000000000003,0.47500000000000003,0.05,1
1,0.175,0.525,0.525,0.05,1
1,0.175,0.5750000000000001,0.5750000000000001,0.05,1
1,0.175,0.625,0.625,0.05,1
1,0.175,0.675,0.675,0.05,1
1,0.175,0.725,0.725,0.05,1
1,0.175,0.775,0.775,0.05,1
1,0.175,0.8250000000000001,0.8250000000000001,0.05,1
1,0.175,0.875,0.875,0.05,1
1,0.175,0.925,0.925,0.05,1
1,0.175,0.975,0.975,0.05,1
1,0.225,0.025,0.025,0.05,1
1,0.225,0.07500000000000001,0.07500000000000001,0.05,1
1,0.225,0.125,0.125,0.05,1
1,0.225,0.175,0.175,0.05,1
1,0.225,0.225,0.225,0.05,1
1,0.225,0.275,0.275,0.05,1
1,0.225,0.325,0.325,0.05,1
1,0.225,0.375,0.375,0.05,1
1,0.225,0.42500000000000004,0.42500000000000004,0.05,1
1,0.225,0.47500000000000003,0.47500000000000003,0.05,1
1,0.225,0.525,0.525,0.05,1
1,0.225,0.5750000000000001,0.5750000000000001,0.05,1
1,0.225,0.625,0.625,0.05,1
1,0.225,0.675,0.675,0.05,1
1,0.225,0.725,0.725,0.05,1
1,0.225,0.775,0.775,0.05,1
1,0.225,0.8250000000000001,0.8250000000000001,0.05,1
1,0.225,0.875,0.875,0.05,1
1,0.225,0.925,0.925,0.05,1
1,0.225,0.975,0.975,0.05,1
1,0.275,0.025,0.025,0.05,1
1,0.275,0.07500000000000001,0.07500000000000001,0.05,1
1,0.275,0.125,0.125,0.05,1
1,0.275,0.175,0.175,0.05,1
1,0.275,0.225,0.225,0.05,1
1,0.275,0.275,0.275,0.05,1
1,0.275,0.325,0.325,0.05,1
1,0.275,0.375,0.375,0.05,1
1,0.275,0.42500000000000004,0.42500000000000004,0.05,1
1,0.275,0.47500000000000003,0.47500000000000003,0.05,1
1,0.275,0.525,0.525,0.05,1
1,0.275,0.5750000000000001,0.5750000000000001,0.05,1
1,0.275,0.625,0.625,0.05,1
1,0.275,0.675,0.675,0.05,1
1,0.275,0.725,0.725,0.05,1
1,0.275,0.775,0.775,0.05,1
1,0.275,0.8250000000000001,0.8250000000000001,0.05,1
1,0.275,0.875,0.875,0.05,1
1,0.275,0.925,0.925,0.05,1
1,0.275,0.975,0.975,0.05,1
1,0.325,0.025,0.025,0.05,1
1,0.325,0.07500000000000001,0.07500000000000001,0.05,1
1,0.325,0.125,0.125,0.05,1
1,0.325,0.175,0.175,0.05,1
1,0.325,0.225,0.225,0.05,1
1,0.325,0.275,0.275,0.05,1
1,0.325,0.325,0.325,0.05,1
1,0.325,0.375,0.375,0.05,1
1,0.325,0.42500000000000004,0.42500000000000004,0.05,1
1,0.325,0.47500000000000003,0.47500000000000003,0.05,1
1,0.325,0.525,0.525,0.05,1
1,0.325,0.5750000000000001,0.5750000000000001,0.05,1
1,0.325,0.625,0.625,0.05,1
1,0.325,0.675,0.675,0.05,1
1,0.325,0.725,0.725,0.05,1
1,0.325,0.775,0.775,0.05,1
1,0.325,0.8250000000000001,0.8250000000000001,0.05,1
1,0.325,0.875,0.875,0.05,1
1,0.325,0.925,0.925,0.05,1
1,0.325,0.975,0.975,0.05,1
1,0.375,0.025,0.025,0.05,1
1,0.375,0.07500000000000001,0.07500000000000001,0.05,1
1,0.375,0.125,0.125,0.05,1
1,0.375,0.175,0.175,0.05,1
1,0.375,0.225,0.225,0.05,1
1,0.375,0.275,0.275,0.05,1
1,0.375,0.325,0.325,0.05,1
1,0.375,0.375,0.375,0.05,1
1,0.375,0.42500000000000004,0.42500000000000004,0.05,1
1,0.375,0.47500000000000003,0.47500000000000003,0.05,1
1,0.375,0.525,0.525,0.05,1
1,0.375,0.5750000000000001,0.5750000000000001,0.05,1
1,0.375,0.625,0.625,0.05,1
1,0.375,0.675,0.675,0.05,1
1,0.375,0.725,0.725,0.05,1
1,0.375,0.775,0.775,0.05,1
1,0.375,0.8250000000000001,0.8250000000000001,0.05,1
1,0.375,0.875,0.875,0.05,1
1,0.375,0.925,0.925,0.05,1
1,0.375,0.975,0.975,0.05,1
1,0.42500000000000004,0.025,0.025,0.05,1
1,0.42500000000000004,0.07500000000000001,0.07500000000000001,0.05,1
1,0.42500000000000004,0.125,0.125,0.05,1
1,0.42500000000000004,0.175,0.175,0.05,1
1,0.42500000000000004,0.225,0.225,0.05,1
1,0.42500000000000004,0.275,0.275,0.05,1
1,0.42500000000000004,0.325,0.325,0.05,1
1,0.42500000000000004,0.375,0.375,0.05,1
1,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.05,1
1,0.42500000000000004,0.47500000000000003,0.47500000000000003,0.05,1
1,0.42500000000000004,0.525,0.525,0.05,1
1,0.42500000000000004,0.5750000000000001,0.5750000000000001,0.05,1
1,0.42500000000000004,0.625,0.625,0.05,1
1,0.42500000000000004,0.675,0.675,0.05,1
1,0.42500000000000004,0.725,0.725,0.05,1
1,0.42500000000000004,0.775,0.775,0.05,1
1,0.42500000000000004,0.8250000000000001,0.8250000000000001,0.05,1
1,0.42500000000000004,0.875,0.875,0.05,1
1,0.42500000000000004,0.925,0.925,0.05,1
1,0.42500000000000004,0.975,0.975,0.05,1
1,0.47500000000000003,0.025,0.025,0.05,1
1,0.47500000000000003,0.07500000000000001,0.07500000000000001,0.05,1
1,0.47500000000000003,0.125,0.125,0.05,1
1,0.47500000000000003,0.175,0.175,0.05,1
1,0.47500000000000003,0.225,0.225,0.05,1
1,0.47500000000000003,0.275,0.275,0.05,1
1,0.47500000000000003,0.325,0.325,0.05,1
1,0.47500000000000003,0.375,0.375,0.05,1
1,0.47500000000000003,0.42500000000000004,0.42500000000000004,0.05,1
1,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.05,1
1,0.47500000000000003,0.525,0.525,0.05,1
1,0.47500000000000003,0.5750000000000001,0.5750000000000001,0.05,1
1,0.47500000000000003,0.625,0.625,0.05,1
1,0.47500000000000003,0.675,0.675,0.05,1
1,0.47500000000000003,0.725,0.725,0.05,1
1,0.47500000000000003,0.775,0.775,0.05,1
1,0.47500000000000003,0.8250000000000001,0.8250000000000001,0.05,1
1,0.47500000000000003,0.875,0.875,0.05,1
1,0.47500000000000003,0.925,0.925,0.05,1
1,0.47500000000000003,0.975,0.975,0.05,1
1,0.525,0.025,0.025,0.05,1
1,0.525,0.07500000000000001,0.07500000000000001,0.05,1
1,0.525,0.125,0.125,0.05,1
1,0.525,0.175,0.175,0.05,1
1,0.525,0.225,0.225,0.05,1
1,0.525,0.275,0.275,0.05,1
1,0.525,0.325,0.325,0.05,1
1,0.525,0.375,0.375,0.05,1
1,0.525,0.42500000000000004,0.42500000000000004,0.05,1
1,0.525,0.47500000000000003,0.47500000000000003,0.05,1
1,0.525,0.525,0.525,0.05,1
1,0.525,0.5750000000000001,0.5750000000000001,0.05,1
1,0.525,0.625,0.625,0.05,1
1,0.525,0.675,0.675,0.05,1
1,0.525,0.725,0.725,0.05,1
1,0.525,0.775,0.775,0.05,1
1,0.525,0.8250000000000001,0.8250000000000001,0.05,1
1,0.525,0.875,0.875,0.05,1
1,0.525,0.925,0.925,0.05,1
1,0.525,0.975,0.975,0.05,1
1,0.5750000000000001,0.025,0.025,0.05,1
1,0.5750000000000001,0.07500000000000001,0.07500000000000001,0.05,1
1,0.5750000000000001,0.125,0.125,0.05,1
1,0.5750000000000001,0.175,0.175,0.05,1
1,0.5750000000000001,0.225,0.225,0.05,1
1,0.5750000000000001,0.275,0.275,0.05,1
1,0.5750000000000001,0.325,0.325,0.05,1
1,0.5750000000000001,0.375,0.375,0.05,1
1,0.5750000000000001,0.42500000000000004,0.42500000000000004,0.05,1
1,0.5750000000000001,0.47500000000000003,0.47500000000000003,0.05,1
1,0.5750000000000001,0.525,0.525,0.05,1
1,0.5750000000000001,0.5750000000000001,0.5750000000000001,0.05,1
1,0.5750000000000001,0.625,0.625,0.05,1
1,0.5750000000000001,0.675,0.675,0.05,1
1,0.5750000000000001,0.725,0.725,0.05,1
1,0.5750000000000001,0.775,0.775,0.05,1
1,0.5750000000000001,0.8250000000000001,0.8250000000000001,0.05,1
1,0.5750000000000001,0.875,0.875,0.05,1
1,0.5750000000000001,0.925,0.925,0.05,1
1,0.5750000000000001,0.975,0.975,0.05,1
1,0.625,0.025,0.025,0.05,1
1,0.625,0.07500000000000001,0.07500000000000001,0.05,1
1,0.625,0.125,0.125,0.05,1
1,0.625,0.175,0.175,0.05,1
1,0.625,0.225,0.225,0.05,1
1,0.625,0.275,0.275,0.05,1
1,0.625,0.325,0.325,0.05,1
1,0.625,0.375,0.375,0.05,1
1,0.625,0.42500000000000004,0.42500000000000004,0.05,1
1,0.625,0.47500000000000003,0.47500000000000003,0.05,1
1,0.625,0.525,0.525,0.05,1
1,0.625,0.5750000000000001,0.5750000000000001,0.05,1
1,0.625,0.625,0.625,0.05,1
1,0.625,0.675,0.675,0.05,1
1,0.625,0.725,0.725,0.05,1
1,0.625,0.775,0.775,0.05,1
1,0.625,0.8250000000000001,0.8250000000000001,0.05,1
1,0.625,0.875,0.875,0.05,1
1,0.625,0.925,0.925,0.05,1
1,0.625,0.975,0.975,0.05,1
1,0.675,0.025,0.025,0.05,1
1,0.675,0.07500000000000001,0.07500000000000001,0.05,1
1,0.675,0.125,0.125,0.05,1
1,0.675,0.175,0.175,0.05,1
1,0.675,0.225,0.225,0.05,1
1,0.675,0.275,0.275,0.05,1
1,0.675,0.325,0.325,0.05,1
1,0.675,0.375,0.375,0.05,1
1,0.675,0.42500000000000004,0.42500000000000004,0.05,1
1,0.675,0.47500000000000003,0.47500000000000003,0.05,1
1,0.675,0.525,0.525,0.05,1
1,0.675,0.5750000000000001,0.5750000000000001,0.05,1
1,0.675,0.625,0.625,0.05,1
1,0.675,0.675,0.675,0.05,1
1,0.675,0.725,0.725,0.05,1
1,0.675,0.775,0.775,0.05,1
1,0.675,0.8250000000000001,0.8250000000000001,0.05,1
1,0.675,0.875,0.875,0.05,1
1,0.675,0.925,0.925,0.05,1
1,0.675,0.975,0.975,0.05,1
1,0.725,0.025,0.025,0.05,1
1,0.725,0.07500000000000001,0.07500000000000001,0.05,1
1,0.725,0.125,0.125,0.05,1
1,0.725,0.175,0.175,0.05,1
1,0.725,0.225,0.225,0.05,1
1,0.725,0.275,0.275,0.05,1
1,0.725,0.325,0.325,0.05,1
1,0.725,0.375,0.375,0.05,1
1,0.725,0.42500000000000004,0.42500000000000004,0.05,1
1,0.725,0.47500000000000003,0.47500000000000003,0.05,1
1,0.725,0.525,0.525,0.05,1
1,0.725,0.5750000000000001,0.5750000000000001,0.05,1
1,0.725,0.625,0.625,0.05,1
1,0.725,0.675,0.675,0.05,1
1,0.725,0.725,0.725,0.05,1
1,0.725,0.775,0.775,0.05,1
1,0.725,0.8250000000000001,0.8250000000000001,0.05,1
1,0.725,0.875,0.875,0.05,1
1,0.725,0.925,0.925,0.05,1
1,0.725,0.975,0.975,0.05,1
1,0.775,0.025,0.025,0.05,1
1,0.775,0.07500000000000001,0.07500000000000001,0.05,1
1,0.775,0.125,0.125,0.05,1
1,0.775,0.175,0.175,0.05,1
1,0.775,0.225,0.225,0.05,1
1,0.775,0.275,0.275,0.05,1
1,0.775,0.325,0.325,0.05,1
1,0.775,0.375,0.375,0.05,1
1,0.775,0.42500000000000004,0.42500000000000004,0.05,1
1,0.775,0.47500000000000003,0.47500000000000003,0.05,1
1,0.775,0.525,0.525,0.05,1
1,0.775,0.5750000000000001,0.5750000000000001,0.05,1
1,0.775,0.625,0.625,0.05,1
1,0.775,0.675,0.675,0.05,1
1,0.775,0.725,0.725,0.05,1
1,0.775,0.775,0.775,0.05,1
1,0.775,0.8250000000000001,0.8250000000000001,0.05,1
1,0.775,0.875,0.875,0.05,1
1,0.775,0.925,0.925,0.05,1
1,0.775,0.975,0.975,0.05,1
1,0.8250000000000001,0.025,0.025,0.05,1
1,0.8250000000000001,0.07500000000000001,0.07500000000000001,0.05,1
1,0.8250000000000001,0.125,0.125,0.05,1
1,0.8250000000000001,0.175,0.175,0.05,1
1,0.8250000000000001,0.225,0.225,0.05,1
1,0.8250000000000001,0.275,0.275,0.05,1
1,0.8250000000000001,0.325,0.325,0.05,1
1,0.8250000000000001,0.375,0.375,0.05,1
1,0.8250000000000001,0.42500000000000004,0.42500000000000004,0.05,1
1,0.8250000000000001,0.47500000000000003,0.47500000000000003,0.05,1
1,0.8250000000000001,0.525,0.525,0.05,1
1,0.8250000000000001,0.5750000000000001,0.5750000000000001,0.05,1
1,0.8250000000000001,0.625,0.625,0.05,1
1,0.8250000000000001,0.675,0.675,0.05,1
1,0.8250000000000001,0.725,0.725,0.05,1
1,0.8250000000000001,0.775,0.775,0.05,1
1,0.8250000000000001,0.8250000000000001,0.8250000000000001,0.05,1
1,0.8250000000000001,0.875,0.875,0.05,1
1,0.8250000000000001,0.925,0.925,0.05,1
1,0.8250000000000001,0.975,0.975,0.05,1
1,0.875,0.025,0.025,0.05,1
1,0.875,0.07500000000000001,0.07500000000000001,0.05,1
1,0.875,0.125,0.125,0.05,1
1,0.875,0.175,0.175,0.05,1
1,0.875,0.225,0.225,0.05,1
1,0.875,0.275,0.275,0.05,1
1,0.875,0.325,0.325,0.05,1
1,0.875,0.375,0.375,0.05,1
1,0.875,0.42500000000000004,0.42500000000000004,0.05,1
1,0.875,0.47500000000000003,0.47500000000000003,0.05,1
1,0.875,0.525,0.525,0.05,1
1,0.875,0.5750000000000001,0.5750000000000001,0.05,1
1,0.875,0.625,0.625,0.05,1
1,0.875,0.675,0.675,0.05,1
1,0.875,0.725,0.725,0.05,1
1,0.875,0.775,0.775,0.05,1
1,0.875,0.8250000000000001,0.8250000000000001,0.05,1
1,0.875,0.875,0.875,0.05,1
1,0.875,0.925,0.925,0.05,1
1,0.875,0.975,0.975,0.05,1
1,0.925,0.025,0.025,0.05,1
1,0.925,0.07500000000000001,0.07500000000000001,0.05,1
1,0.925,0.125,0.125,0.05,1
1,0.925,0.175,0.175,0.05,1
1,0.925,0.225,0.225,0.05,1
1,0.925,0.275,0.275,0.05,1
1,0.925,0.325,0.325,0.05,1
1,0.925,0.375,0.375,0.05,1
1,0.925,0.42500000000000004,0.42500000000000004,0.05,1
1,0.925,0.47500000000000003,0.47500000000000003,0.05,1
1,0.925,0.525,0.525,0.05,1
1,0.925,0.5750000000000001,0.5750000000000001,0.05,1
1,0.925,0.625,0.625,0.05,1
1,0.925,0.675,0.675,0.05,1
1,0.925,0.725,0.725,0.05,1
1,0.925,0.775,0.775,0.05,1
1,0.925,0.8250000000000001,0.8250000000000001,0.05,1
1,0.925,0.875,0.875,0.05,1
1,0.925,0.925,0.925,0.05,1
1,0.925,0.975,0.975,0.05,1
1,0.975,0.025,0.025,0.05,1
1,0.975,0.07500000000000001,0.07500000000000001,0.05,1
1,0.975,0.125,0.125,0.05,1
1,0.975,0.175,0.175,0.05,1
1,0.975,0.225,0.225,0.05,1
1,0.975,0.275,0.275,0.05,1
1,0.975,0.325,0.325,0.05,1
1,0.975,0.375,0.375,0.05,1
1,0.975,0.42500000000000004,0.42500000000000004,0.05,1
1,0.975,0.47500000000000003,0.47500000000000003,0.05,1
1,0.975,0.525,0.525,0.05,1
1,0.975,0.5750000000000001,0.5750000000000001,0.05,1
1,0.975,0.625,0.625,0.05,1
1,0.975,0.675,0.675,0.05,1
1,0.975,0.725,0.725,0.05,1
1,0.975,0.775,0.775,0.05,1
1,0.975,0.8250000000000001,0.8250000000000001,0.05,1
1,0.975,0.875,0.875,0.05,1
1,0.975,0.925,0.925,0.05,1
1,0.975,0.975,0.975,0.05,1
